candidate_rank,paper_id,title,doi,year,journal,s2_is_open_access,oa_pdf_url,status,filename,sha256,bytes,error,openalex_status,openalex_error
88,,Bromine-Substitution-Induced High- TcTwo-Dimensional Bilayered Perovskite Photoferroelectric,10.1021/jacs.1c00459,2021,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
89,,The First Improper Ferroelectric of 2D Multilayered Hybrid Perovskite Enabling Strong Tunable Polarization-Directed Second Harmonic Generation Effect,10.1002/adfm.202103012,2021,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
90,,Grain-Oriented Ferroelectric Ceramics with Single-Crystal-like Piezoelectric Properties and Low Texture Temperature,10.1021/acsami.0c11680,2020,ACS Applied Materials and Interfaces,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
91,119,Robust multiferroic in interfacial modulation synthesized wafer-scale one-unit-cell of chromium sulfide,10.1038/s41467-024-44929-5,2024,Nature Communications,True,https://www.nature.com/articles/s41467-024-44929-5.pdf,DOWNLOADED,119-Robust multiferroic in interfacial modulation synthesized wafer-scale one-unit-cell of chromium sulfide.pdf,1108b761d5a1133a55d4539b091e565d4b20feae27fb1d17fb9ca649f9557a24,6562375,,,
92,,Molecular Engineering Regulation Achieving Out-of-Plane Polarization in Rare-Earth Hybrid Double Perovskites for Ferroelectrics and Circularly Polarized Luminescence,10.1002/anie.202409796,2024,Angewandte Chemie International Edition,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
93,,Metal-Free Perovskite Ferroelectrics with the Most Equivalent Polarization Axes,10.1021/jacs.4c07268,2024,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
94,,Lead zirconate titanate ceramics with aligned crystallite grains,10.1126/science.adf6161,2023,Science,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
95,,Superior energy storage properties with thermal stability in lead-free ceramics by constructing an antiferroelectric/relaxor-antiferroelectric crossover,10.1016/j.actamat.2023.118826,2023,Acta Materialia,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
96,,Energy storage density and charge–discharge properties of PbHf1−xSnxO3 antiferroelectric ceramics,10.1016/j.cej.2021.132540,2022,Chemical Engineering Journal,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
97,,Tuning the Circular Dichroism and Circular Polarized Luminescence Intensities of Chiral 2D Hybrid Organic–Inorganic Perovskites through Halogenation of the Organic Ions,10.1002/anie.202107239,2021,Angewandte Chemie International Edition,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
98,177,The ferroelectric photo ground state of SrTiO3: Cavity materials engineering,10.1073/pnas.2105618118,2021,Proceedings of the National Academy of Sciences of the United States of America,True,https://arxiv.org/pdf/2101.11313,DOWNLOADED_OPENALEX,177-The ferroelectric photo ground state of SrTiO3 Cavity materials engineering.pdf,fa22ab2f0b8064a26d55f83d77ed7892a5d183bbed1283e4c351cc4037c99dc7,7005986,,,
99,120,Direct measurement of ferroelectric polarization in a tunable semimetal,10.1038/s41467-021-25587-3,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-25587-3.pdf,DOWNLOADED,120-Direct measurement of ferroelectric polarization in a tunable semimetal.pdf,1d564d726690f62e36dfbc0402fbc6184e25eca25e0d457025bb5ebc5a19c9d8,1661038,,,
100,178,Unconventional Transverse Transport above and below the Magnetic Transition Temperature in Weyl Semimetal EuCd2As2,10.1103/physrevlett.126.076602,2021,Physical Review Letters,True,https://arxiv.org/pdf/2008.05390,DOWNLOADED_OPENALEX,178-Unconventional Transverse Transport above and below the Magnetic Transition Temperature in Weyl Semimetal.pdf,c3c6847f1490f093e414d2a0dc9a1c2098cd006db5734b75d62074ecf72bacb2,2837254,,,
101,121,Machine-learning-guided discovery of the gigantic magnetocaloric effect in HoB2 near the hydrogen liquefaction temperature,10.1038/s41427-020-0214-y,2020,Npg Asia Materials,True,https://www.nature.com/articles/s41427-020-0214-y.pdf,DOWNLOADED,121-Machine-learning-guided discovery of the gigantic magnetocaloric effect in HoB2 near the hydrogen liquefa.pdf,2af0cfc1d012f71c41bf075f7ca7c9514bc8dd236e667a4737f6382c62d48ccb,1117177,,,
102,,Ferroelectric-field accelerated charge transfer in 2D CuInP2S6 heterostructure for enhanced photocatalytic H2 evolution,10.1016/j.nanoen.2020.104972,2020,Nano Energy,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
103,,Magnetic transition and magnetocaloric properties in Tm2FeAl3 compound,10.1016/j.jmmm.2026.174110,2026,Journal of Magnetism and Magnetic Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
104,,"Glassy formation ability, magnetic transition and low-temperature magnetocaloric performances of amorphous Ho30Gd30Ni20Cu20 ribbon",10.1016/j.ssc.2026.116323,2026,Solid State Communications,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
105,,Designing gadolinium-transition metals-based perovskite type high entropy oxides with good cryogenic magnetocaloric performances,10.1016/j.jmst.2024.05.004,2025,Journal of Materials Science and Technology,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
106,122,Interface-induced dual-pinning mechanism enhances low-frequency electromagnetic wave loss,10.1038/s41467-024-47537-5,2024,Nature Communications,True,https://www.nature.com/articles/s41467-024-47537-5.pdf,DOWNLOADED,122-Interface-induced dual-pinning mechanism enhances low-frequency electromagnetic wave loss.pdf,a43c74bb584cf02acd07f983b531000b9ea8ec5bee98c6019962bb42cc6c6483,2977596,,,
107,,"Experimental and theoretical insights into the structural, magnetic, and low-temperature magnetocaloric properties of RE2CoTiO6 (RE = Gd, Dy, and Er) double perovskite oxides",10.1039/d4ta05172f,2024,Journal of Materials Chemistry A,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
108,,"Control of spin on ferromagnetism and thermoelectric properties of K2GeMnX6 (X = Cl, Br, I) halide perovskites: emerging candidates for semiconductor spintronics and thermoelectric applications",10.1039/d3ma01160g,2024,Materials Advances,True,https://doi.org/10.1039/d3ma01160g,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/ma/article/5/11/4913-4931/812810,NO_WORKING_PDF,
109,179,Dual-role ion dynamics in ferroionic CuInP2S6: revealing the transition from ferroelectric to ionic switching mechanisms,10.1038/s41467-024-55160-7,2024,Nature Communications,False,https://www.nature.com/articles/s41467-024-55160-7.pdf,DOWNLOADED_OPENALEX,179-Dual-role ion dynamics in ferroionic CuInP2S6 revealing the transition from ferroelectric to ionic switch.pdf,f4b54069facb19bd7b752be926cc1717abb3186dc13163d0fc61f7e317204e74,2193817,,,
110,,Chemical Vapor Deposition Synthesis of Intrinsic High-Temperature Ferroelectric 2D CuCrSe2,10.1002/adma.202400655,2024,Advanced Materials,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400655,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400655,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400655
111,,Engineering Thermoelectric Performance of α-GeTe by Ferroelectric Distortion,10.1002/eem2.12535,2024,Energy and Environmental Materials,True,https://doi.org/10.1002/eem2.12535,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/10.1002/eem2.12535,NO_WORKING_PDF,
112,,High-Temperature Dielectric Relaxation and Electric Conduction Mechanisms in a LaCoO3-Modified Na0.5Bi0.5TiO3 System,10.1021/acsomega.3c04490,2023,ACS Omega,True,https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c04490,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c04490,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c04490
113,,Size-Induced Ferroelectricity in Antiferroelectric Oxide Membranes,10.1002/adma.202210562,2023,Advanced Materials,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202210562,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202210562,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202210562 | ValueError: response is not a PDF | HTTPError: 403 Client Error: Forbidden for url: https://escholarship.org/content/qt9hz2v127/qt9hz2v127.pdf
114,123,Polar Solomon rings in ferroelectric nanocrystals,10.1038/s41467-023-39668-y,2023,Nature Communications,True,https://www.nature.com/articles/s41467-023-39668-y.pdf,DOWNLOADED,123-Polar Solomon rings in ferroelectric nanocrystals.pdf,6561d2af1be7f12e3e00ad048be9f72c712a650a012f3212a224303f7b944536,2944505,,,
115,,An Epitaxial Ferroelectric ScAlN/GaN Heterostructure Memory,10.1002/aelm.202200005,2022,Advanced Electronic Materials,True,https://doi.org/10.1002/aelm.202200005,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/aelm.202200005,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://deepblue.lib.umich.edu/items/37580ea4-9b89-4365-828a-121a8628c674
116,,Energy storage performance of K0.5Na0.5NbO3-based ceramics modified by Bi(Zn2/3(Nb0.85Ta0.15)1/3)O3,10.1016/j.cej.2021.131465,2021,Chemical Engineering Journal,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
117,,Significantly enhanced piezoelectric performance in Bi4Ti3O12-based high-temperature piezoceramics via oxygen vacancy defects tailoring,10.1016/j.jmat.2020.08.003,2021,Journal of Materiomics,True,https://www.sciencedirect.com/science/article/pii/S2352847820302604/pdf,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S2352847820302604/pdf,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S2352847820302604/pdf
118,,Giant energy storage efficiency and high recoverable energy storage density achieved in K0.5Na0.5NbO3-Bi(Zn0.5Zr0.5)O3ceramics,10.1039/d0tc01711f,2020,Journal of Materials Chemistry C,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
119,,Evidence of a magnetic transition in atomically thin Cr2TiC2T: X MXene,10.1039/d0nh00343c,2020,Nanoscale Horizons,True,https://www.osti.gov/biblio/1682362,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
120,124,Engineered local polarization disorder unlocks record efficiency in antiferroelectric capacitors,10.1038/s41467-026-72274-2,2026,Nature Communications,True,https://www.nature.com/articles/s41467-026-72274-2_reference.pdf,DOWNLOADED,124-Engineered local polarization disorder unlocks record efficiency in antiferroelectric capacitors.pdf,8df3f2c85f2e12098a1b6af0798560a77cb8bf4b20128433960fee9c0f734aad,2612331,,,
121,,Intrinsic Ferroelectricity in ɛ-Ga2O3: Experimental and Theoretical Insights,10.1002/adfm.202524055,2026,Advanced Functional Materials,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202524055,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202524055,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202524055
122,,Molecular Symmetry and Geometry Engineering for High-Temperature Ferroelectricity and Low Coercive Field in Hybrid Metal Halides,10.1002/anie.202523302,2026,Angewandte Chemie International Edition,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202523302
123,180,"Ultrahigh piezoelectric performances of (K,Na)NbO3 based ceramics enabled by structural flexibility and grain orientation",10.1038/s41467-025-56074-8,2025,Nature Communications,True,https://www.nature.com/articles/s41467-025-56074-8.pdf,DOWNLOADED_OPENALEX,"180-Ultrahigh piezoelectric performances of (K,Na)NbO3 based ceramics enabled by structural flexibility and g.pdf",58eaa8c5be980b91e6e7bf72deb02e73c0c58b010248e6de8181b50a585a79ca,3355841,,,
124,,Multiple Polarization States in Hf1−xZrxO2 Thin Films by Ferroelectric and Antiferroelectric Coupling,10.1002/adma.202411463,2025,Advanced Materials,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202411463,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202411463,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202411463
125,125,2D ferroelectric narrow-bandgap semiconductor Wurtzite’ type α-In2Se3 and its silicon-compatible growth,10.1038/s41467-025-62822-7,2025,Nature Communications,True,https://www.nature.com/articles/s41467-025-62822-7.pdf,DOWNLOADED,125-2D ferroelectric narrow-bandgap semiconductor Wurtzite’ type α-In2Se3 and its silicon-compatible growth.pdf,3620eb21aabf5d4a3eabdfae33c0d194b84bc4aa1295f406859f0aeda61c4ea7,3639736,,,
126,,Interface phenomena and emerging functionalities in ferroelectric oxide based heterostructures,10.1039/d4cc05836d,2025,Chemical Communications,True,https://pubs.rsc.org/en/content/articlepdf/2025/cc/d4cc05836d,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2025/cc/d4cc05836d,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2025/cc/d4cc05836d
127,,Bevel-edge epitaxy of ferroelectric rhombohedral boron nitride single crystal,10.1038/s41586-024-07286-3,2024,Nature,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
128,126,Multiscale reconfiguration induced highly saturated poling in lead-free piezoceramics for giant energy conversion,10.1038/s41467-024-46894-5,2024,Nature Communications,True,https://www.nature.com/articles/s41467-024-46894-5.pdf,DOWNLOADED,126-Multiscale reconfiguration induced highly saturated poling in lead-free piezoceramics for giant energy co.pdf,cd4474ba919d6436e70c028a5cfb25563ddf3bd91f3a1c01beb134e64b2ba869,3939316,,,
129,,Compromise Optimized Superior Energy Storage Performance in Lead-Free Antiferroelectrics by Antiferroelectricity Modulation and Nanodomain Engineering,10.1002/smll.202306486,2024,Small,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smll.202306486
130,,"Multiprincipal Element M2FeC (M = Ti,V,Nb,Ta,Zr) MAX Phases with Synergistic Effect of Dielectric and Magnetic Loss",10.1002/advs.202206877,2023,Advanced Science,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202206877,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202206877,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202206877 | HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC10074122/pdf/ADVS-10-2206877.pdf
131,,"Greatly improved piezoelectricity and thermal stability of (Na, Sm) Co-doped CaBi2Nb2O9 ceramics",10.1016/j.apmate.2023.100116,2023,Advanced Powder Materials,True,https://doi.org/10.1016/j.apmate.2023.100116,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
132,127,Above-room-temperature strong intrinsic ferromagnetism in 2D van der Waals Fe3GaTe2 with large perpendicular magnetic anisotropy,10.1038/s41467-022-32605-5,2022,Nature Communications,True,https://www.nature.com/articles/s41467-022-32605-5.pdf,DOWNLOADED,127-Above-room-temperature strong intrinsic ferromagnetism in 2D van der Waals Fe3GaTe2 with large perpendicu.pdf,b88594ecb8103947d8c4c262aab408e2095fa66093332ef5cfd3456d5ff9f942,2026118,,,
133,,Synthesis of Group VIII Magnetic Transition-Metal-Doped Monolayer MoSe2,10.1021/acsnano.2c02214,2022,ACS Nano,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
134,,The construction of a two-dimensional organic-inorganic hybrid double perovskite ferroelastic with a high Tc and narrow band gap,10.1039/d1sc07045b,2022,Chemical Science,True,https://pubs.rsc.org/en/content/articlepdf/2022/sc/d1sc07045b,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2022/sc/d1sc07045b,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2022/sc/d1sc07045b
135,128,"Scrutinized the inherent spin half-metallicity and thermoelectric response of f-electron-based RbMO3 (M = Np, Pu) perovskites: a computational assessment",10.1038/s41598-022-22633-y,2022,Scientific Reports,True,https://www.nature.com/articles/s41598-022-22633-y.pdf,DOWNLOADED,128-Scrutinized the inherent spin half-metallicity and thermoelectric response of f-electron-based RbMO3 (M =.pdf,6f4becdbd24e5f8a28a57822dc9812b9a92620de87383d9c573764ab2c85e029,5194767,,,
136,129,"Intercalated architecture of MA2Z4 family layered van der Waals materials with emerging topological, magnetic and superconducting properties",10.1038/s41467-021-22324-8,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-22324-8.pdf,DOWNLOADED,"129-Intercalated architecture of MA2Z4 family layered van der Waals materials with emerging topological, magn.pdf",f0eb4f7bd9f7d32d4c54c1731f53807894ee543c6014c5b57dd5d20e0a9986dd,2766654,,,
137,130,Room-temperature intrinsic ferromagnetism in epitaxial CrTe2 ultrathin films,10.1038/s41467-021-22777-x,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-22777-x.pdf,DOWNLOADED,130-Room-temperature intrinsic ferromagnetism in epitaxial CrTe2 ultrathin films.pdf,00ac4fd4a9b318042b16518eefb471cd2ca60c1ea372432acb1464db5139553f,2741473,,,
138,181,500-Fold Amplification of Small Molecule Circularly Polarised Luminescence through Circularly Polarised FRET,10.1002/anie.202011745,2021,Angewandte Chemie International Edition,True,https://ueaeprints.uea.ac.uk/id/eprint/77124/7/anie_202011745.pdf,DOWNLOADED_OPENALEX,181-500-Fold Amplification of Small Molecule Circularly Polarised Luminescence through Circularly Polarised F.pdf,307b7321383ca941d723061c9095457e916625ffd59556780ef36bcddffa7bee,1720034,,,
139,,Piezoelectric ceramics with high piezoelectricity and broad temperature usage range,10.1016/j.jmat.2020.11.012,2021,Journal of Materiomics,True,https://www.sciencedirect.com/science/article/pii/S2352847820305207/pdf,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S2352847820305207/pdf,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S2352847820305207/pdf
140,,Reprogrammable shape morphing of magnetic soft machines,10.1126/sciadv.abc6414,2020,Science Advances,True,https://advances.sciencemag.org/content/advances/6/38/eabc6414.full.pdf,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://advances.sciencemag.org/content/advances/6/38/eabc6414.full.pdf,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://advances.sciencemag.org/content/advances/6/38/eabc6414.full.pdf
141,182,Magnetic and spectroscopic properties of Ni-Zn-Al ferrite spinel: From the nanoscale to microscale,10.1039/d0ra05522k,2020,Rsc Advances,True,https://hal.science/hal-02970483v1/document,DOWNLOADED_OPENALEX,182-Magnetic and spectroscopic properties of Ni-Zn-Al ferrite spinel From the nanoscale to microscale.pdf,caaaa6a69e0b6e0e77acfb683053914dfdf756fa18fab85cfa842a87983729cf,2862199,,,
142,131,Phase-controllable growth of ultrathin 2D magnetic FeTe crystals,10.1038/s41467-020-17253-x,2020,Nature Communications,True,https://www.nature.com/articles/s41467-020-17253-x.pdf,DOWNLOADED,131-Phase-controllable growth of ultrathin 2D magnetic FeTe crystals.pdf,88d1d55b86cca634b63de6412a95b239613d670730ed607462a3432d6ec6639a,1926723,,,
143,132,Enabling room temperature ferromagnetism in monolayer MoS2 via in situ iron-doping,10.1038/s41467-020-15877-7,2020,Nature Communications,True,https://www.nature.com/articles/s41467-020-15877-7.pdf,DOWNLOADED,132-Enabling room temperature ferromagnetism in monolayer MoS2 via in situ iron-doping.pdf,8a5883938a867ca15a0c8b8f699a74e3afa7d875d08ce403aa5164a4fcc81cf3,2272195,,,
144,183,Many-Body Electronic Structure of NdNiO2 and CaCuO2,10.1103/physrevx.10.021061,2020,Physical Review X,True,https://arxiv.org/pdf/2001.06441,DOWNLOADED_OPENALEX,183-Many-Body Electronic Structure of NdNiO2 and CaCuO2.pdf,a6f7bcfa86ee506f90db7e0155cb8bada3ad90fdb9f6fc3b3beba887ec29215f,2203167,,,
145,,Machine learning the magnetocaloric effect in manganites from compositions and structural parameters,10.1063/1.5144241,2020,Aip Advances,True,https://doi.org/10.1063/1.5144241,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.aip.org/adv/article/10/3/035220/1037434/Machine-learning-the-magnetocaloric-effect-in,NO_WORKING_PDF,
146,,Electronic and spintronic properties of the multiferroic GdBr2/In2Se3 van der Waals heterostructure,10.1016/j.jpcs.2025.113294,2026,Journal of Physics and Chemistry of Solids,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
147,,High-pressure synthesis and high-performance half metallicity of quadruple perovskite oxide DyCu3Fe2Re2O12,10.1016/j.fmre.2024.11.024,2026,Fundamental Research,True,https://doi.org/10.1016/j.fmre.2024.11.024,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
148,,"Computational screening of 2D pentagonal materials with room-temperature altermagnetism, multiferroicity, and topological states",10.1007/s40843-025-3600-1,2026,Science China Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
149,,"Pioneering computational insights into the structural, magnetic, and thermoelectric properties of A3XN (A=Co, Fe; X=Cu, Zn) anti-perovskites for advanced material applications",10.1016/j.mssp.2024.108925,2025,Materials Science in Semiconductor Processing,True,https://doi.org/10.1016/j.mssp.2024.108925,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
150,,Efficient Mn2+Doping in Non-Stoichiometric Cesium Lead Bromide Perovskite Quantum Dots,10.1021/jacs.5c12086,2025,Journal of the American Chemical Society,True,https://pubs.acs.org/doi/pdf/10.1021/jacs.5c12086?ref=article_openPDF,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/jacs.5c12086?ref=article_openPDF,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/jacs.5c12086?ref=article_openPDF
151,,Manipulating perovskite structural asymmetry for high-performing self-powered full-stokes polarimetry,10.1126/sciadv.ads6123,2025,Science Advances,True,https://doi.org/10.1126/sciadv.ads6123,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.science.org/doi/10.1126/sciadv.ads6123,NO_WORKING_PDF,
152,,"Magnetic properties, critical behavior, and magnetocaloric effect of Nd1−xSrxMnO3 (0.2 ≤ x ≤ 0.5): The role of Sr doping concentration",10.1063/5.0229032,2024,Journal of Applied Physics,True,https://doi.org/10.1063/5.0229032,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.aip.org/jap/article/136/9/093902/3311087/Magnetic-properties-critical-behavior-and,NO_WORKING_PDF,
153,,Origin of Polarization in Bismuth Sodium Titanate-Based Ceramics,10.1021/jacs.3c13927,2024,Journal of the American Chemical Society,True,https://doi.org/10.1021/jacs.3c13927,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/jacs.3c13927,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC10910510/pdf/ja3c13927.pdf
154,,Magnetic and magnetocaloric effect of Ba2FeReO6 double perovskite: Ab-initio and Monte Carlo studies,10.1016/j.vacuum.2024.113090,2024,Vacuum,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
155,,"Physical properties of vacancy-ordered double perovskites K2TcZ6 (Z = Cl, Br) for spintronics applications: DFT calculations",10.1039/d3ra07603b,2024,Rsc Advances,True,https://pubs.rsc.org/en/content/articlepdf/2024/ra/d3ra07603b,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2024/ra/d3ra07603b,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2024/ra/d3ra07603b | HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC10772539/pdf/RA-014-D3RA07603B.pdf
156,133,General low-temperature growth of two-dimensional nanosheets from layered and nonlayered materials,10.1038/s41467-023-35983-6,2023,Nature Communications,True,https://www.nature.com/articles/s41467-023-35983-6.pdf,DOWNLOADED,133-General low-temperature growth of two-dimensional nanosheets from layered and nonlayered materials.pdf,634508c40736d67f823ac3b093468c212f662f8c23218919e13ab4a0160e2dff,4848176,,,
157,,The emergence of considerable room temperature magnetocaloric performances in the transition metal high-entropy alloys,10.1016/j.mtphys.2023.101031,2023,Materials Today Physics,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
158,134,Ultrahigh Oxygen Ion Mobility in Ferroelectric Hafnia,10.1103/physrevlett.131.256801,2023,Physical Review Letters,True,https://arxiv.org/pdf/2305.02952,DOWNLOADED,134-Ultrahigh Oxygen Ion Mobility in Ferroelectric Hafnia.pdf,37eba5a3b19d715823837c75dc50a5ef34856ce54dbb6ba7fc8f4b3429c02e07,1178072,,,
159,,Thermal Stability of the Ferroelectric Properties in 100 nm-Thick Al0.72Sc0.28N,10.1021/acsami.2c18313,2023,ACS Applied Materials and Interfaces,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
160,,Enhanced piezoelectricity in Na and Ce co-doped CaBi4Ti4O15 ceramics for high-temperature applications,10.26599/jac.2023.9220754,2023,Journal of Advanced Ceramics,True,https://www.sciopen.com/article_pdf/1647793756054376450.pdf,DOWNLOAD_FAILED,,,0,HTTPError: 404 Client Error: Not Found for url: https://www.sciopen.com/article_pdf/1647793756054376450.pdf,NO_WORKING_PDF,HTTPError: 404 Client Error: Not Found for url: https://www.sciopen.com/article_pdf/1647793756054376450.pdf
161,,"Effects of A, B-site multiple ion co-doping on the structure, magnetic, magnetocaloric effect, and critical behavior of La0.7-xNd0.1Sr0.2KxMn0.95Ni0.05O3 ceramics",10.1016/j.ceramint.2023.07.235,2023,Ceramics International,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
162,,Electric-Field-Induced Room-Temperature Antiferroelectric-Ferroelectric Phase Transition in van der Waals Layered GeSe,10.1021/acsnano.1c09183,2022,ACS Nano,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
163,135,XGBoost model for electrocaloric temperature change prediction in ceramics,10.1038/s41524-022-00826-3,2022,Npj Computational Materials,True,https://www.nature.com/articles/s41524-022-00826-3.pdf,DOWNLOADED,135-XGBoost model for electrocaloric temperature change prediction in ceramics.pdf,251912a27a5c2142f58a2fb51ef273c971cd989f368230503da9b9d7412b661a,1925856,,,
